Iteration	Replicate_ID	Posterior	Likelihood	Prior	branch_lengths[1]	branch_lengths[2]	branch_lengths[3]	branch_lengths[4]	branch_lengths[5]	branch_lengths[6]	branch_lengths[7]	branch_lengths[8]	branch_lengths[9]	branch_lengths[10]	branch_lengths[11]	branch_lengths[12]	branch_lengths[13]	branch_lengths[14]	branch_lengths[15]	branch_lengths[16]	branch_lengths[17]	branch_lengths[18]	branch_lengths[19]	branch_lengths[20]	branch_lengths[21]	gamma	phi[1]	phi[2]	phi[3]	phi[4]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]
0	0	-10313.37	-10334.18	20.81155	0.0653608	0.36409	0.055241	0.000172163	0.0307474	0.0467825	0.034032	0.0600957	0.290326	0.0340745	0.0990817	0.0333471	0.0582707	0.0266784	0.0156862	0.00242888	0.0743172	0.0580498	0.00173368	0.351582	0.0207328	0.5014443	1	0.501444	0.501444	1	0.0408782	0.354616	0.299013	0.305493	0.00666802	0.0815421	0.163179	0.52248	0.0184645	0.0141638
1	1	-14068.61	-14085.33	16.7178	0.00612995	0.0281974	0.153743	0.290123	0.0154559	0.0228064	0.118664	0.012964	0.116205	0.165816	0.0660292	0.179839	0.177243	0.0203202	0.233374	0.0886605	0.138395	0.0132712	0.144042	0.292173	0.108528	0.07343919	1	0.0734392	0.0734392	1	0.0726339	0.195679	0.727339	0.00434781	0.00338376	0.0448619	0.170706	0.145369	0.203709	0.021493
2	0	-6543.276	-6563.068	19.7919	0.30087	0.415512	0.0552246	0.000238891	0.0440797	0.00993208	0.0142282	0.0158297	0.148029	0.0871794	0.219933	0.0494412	0.0190117	0.0402339	0.0204918	0.00260215	0.0678679	0.0516407	0.00191417	0.253242	0.0117053	1.837825	1	1.83783	1.83783	1	0.311239	0.218066	0.199085	0.27161	0.0834311	0.157127	0.192379	0.0931856	0.0806986	0.0616249
3	1	-7278.349	-7263.174	-15.17423	0.0210503	0.217966	0.649151	1.65339	0.0549553	0.0273711	0.0696011	0.0387145	0.19236	0.143777	0.178675	0.296976	0.0527849	0.0291281	0.686847	0.0397411	0.411605	0.0138233	0.0407083	0.0812775	0.175172	1.147583	1	1.14758	1.14758	1	0.284893	0.415236	0.234302	0.065569	0.0340476	0.24249	0.134634	0.227984	0.210317	0.138742
4	0	-6171.255	-6187.978	16.72327	0.346871	0.583717	0.0188867	0.000558402	0.0402736	0.0159031	0.00579083	0.0379006	0.122837	0.0809471	0.0869336	0.0968792	0.0206809	0.117077	0.00778625	0.0323759	0.226403	0.0212316	0.00825639	0.40498	0.0114721	1.765957	1	1.76596	1.76596	1	0.315584	0.181398	0.173174	0.329844	0.0734526	0.0800967	0.146469	0.0700997	0.0741247	0.0796995
5	1	-6424.765	-6396.827	-27.93749	0.0584795	0.541396	0.104462	2.01954	0.217818	0.0495375	0.0539577	0.115996	0.336845	0.189127	0.0969717	0.37443	0.0323346	0.0151997	1.40258	0.01329	0.82964	0.0210984	0.00792652	0.0969343	0.345421	1.158964	1	1.15896	1.15896	1	0.318177	0.180526	0.151615	0.349682	0.0911911	0.064801	0.0445204	0.0824785	0.0624241	0.070077
6	0	-6130.033	-6144.819	14.786	0.393055	0.563007	0.0233817	0.00286328	0.0311213	0.00860884	0.00193852	0.0151247	0.0952056	0.0971618	0.0815616	0.113442	0.00758695	0.222385	0.00318023	0.0560975	0.312958	0.0203671	0.0137445	0.406066	0.01052	1.765957	1	1.76596	1.76596	1	0.292252	0.167986	0.181301	0.35846	0.0772006	0.079438	0.155391	0.066005	0.0745809	0.0734381
7	1	-5488.621	-5456.24	-32.38088	0.754886	0.623962	0.235503	1.15574	0.237695	0.0501981	0.0648338	0.193871	0.396345	0.253867	0.469844	0.283837	0.0121041	0.0252968	0.499772	0.0045698	1.5564	0.0112128	0.00220422	0.0657195	0.723393	1.318836	1	1.31884	1.31884	1	0.32589	0.184902	0.15529	0.333919	0.0264494	0.0225306	0.0177807	0.0228964	0.0300187	0.0259003
8	0	-6110.368	-6124.313	13.94462	0.39745	0.583107	0.00956713	0.00796547	0.0229668	0.0135795	0.000435117	0.0475161	0.100228	0.0925153	0.0803901	0.0867112	0.0116174	0.20104	0.00781532	0.0521342	0.332648	0.0122447	0.0672286	0.47048	0.0201119	1.765957	1	1.76596	1.76596	1	0.297578	0.171048	0.184606	0.346768	0.0756442	0.0645164	0.107504	0.0778845	0.0816818	0.0645868
9	1	-5363.629	-5315.66	-47.96891	1.0549	0.314256	0.169996	1.31542	0.344999	0.0391398	0.0141522	0.171705	0.632424	0.437331	0.829015	0.446107	0.0346137	0.092382	0.199818	0.00286838	1.97092	0.00892967	0.0017739	0.19047	0.933823	1.318836	1	1.31884	1.31884	1	0.325629	0.186876	0.154746	0.332749	0.0242918	0.0226254	0.0115703	0.0165958	0.0198621	0.0256484
