Iteration	Replicate_ID	Posterior	Likelihood	Prior	branch_lengths[1]	branch_lengths[2]	branch_lengths[3]	branch_lengths[4]	branch_lengths[5]	branch_lengths[6]	branch_lengths[7]	branch_lengths[8]	branch_lengths[9]	branch_lengths[10]	branch_lengths[11]	branch_lengths[12]	branch_lengths[13]	branch_lengths[14]	branch_lengths[15]	branch_lengths[16]	branch_lengths[17]	branch_lengths[18]	branch_lengths[19]	branch_lengths[20]	branch_lengths[21]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]
0	0	-4573.588	-4584.019	10.43107	0.0749943	0.105947	0.156865	0.25078	0.067179	0.0816151	0.361921	0.037594	0.281742	0.371841	0.0351823	0.0790563	0.160394	0.251008	0.0208388	0.117155	0.0599042	0.201975	0.0825367	0.132663	0.0424453	0.121601	0.197269	0.372803	0.308326	0.0137998	0.0921296	0.372622	0.0627283	0.0217325	0.0808708
1	1	-4767.498	-4788.184	20.68651	0.0328192	0.0795617	0.000756541	0.0401453	0.107571	0.0491921	0.15994	0.106812	0.0813478	0.104593	0.809203	0.0346197	0.0346512	0.00875803	0.0592586	0.00594673	0.0873595	0.0153533	0.216859	0.202016	0.0133363	0.0560962	0.232485	0.224089	0.48733	0.0123837	0.0500236	0.0557019	0.0132482	0.198476	0.0120431
2	0	-3842.773	-3865.405	22.6319	0.249605	0.300464	0.204234	0.140613	0.019331	0.0663034	0.160132	0.0161298	0.0523622	0.161528	0.0381328	0.0246889	0.135579	0.0355284	0.120305	0.0502444	0.0236741	0.13907	0.105614	0.0347596	0.0965569	0.0590022	0.293419	0.23611	0.411468	0.0297849	0.0630296	0.0314362	0.0429269	0.0324871	0.0229162
3	1	-3852.246	-3875.904	23.65815	0.0575905	0.773319	0.00236864	0.0649975	0.0566065	0.0172504	0.14082	0.0211866	0.0510509	0.0315547	0.19841	0.100996	0.03233	0.0127452	0.0306968	0.00794078	0.030259	0.036004	0.0968994	0.0473375	0.0110178	0.179804	0.187367	0.294437	0.338392	0.0708693	0.103397	0.0816349	0.0739928	0.0944062	0.0491291
4	0	-3484.655	-3480.154	-4.501027	2.09889	0.0525362	0.391261	0.316664	0.0256403	0.0913009	0.0800916	0.00807431	0.0764972	0.0467979	0.0350307	0.158666	0.411208	0.0250196	0.43805	0.0925502	0.0117864	0.113815	0.226062	0.043275	0.299455	0.117489	0.387361	0.253449	0.241701	0.00932736	0.024743	0.0124296	0.00480762	0.00994553	0.00680136
5	1	-3699.514	-3723.484	23.97001	0.0627221	1.0811	0.0053211	0.108554	0.0186592	0.00965726	0.0128645	0.0159034	0.0272417	0.021412	0.016889	0.0427964	0.0998146	0.0143632	0.00946974	0.000493347	0.0273301	0.0342716	0.109784	0.0250816	0.0614093	0.247593	0.217762	0.22619	0.308455	0.0779744	0.0793029	0.0579418	0.0860064	0.097655	0.0596016
6	0	-3337.593	-3289.845	-47.74753	2.70985	0.0469306	1.70019	0.515581	0.102929	0.0641583	0.0486104	0.0189479	0.24109	0.122378	0.0357543	0.293572	1.68916	0.0307393	0.747831	0.0863118	0.0561321	0.113577	0.40267	0.115335	0.263368	0.146526	0.194052	0.286805	0.372617	0.00362219	0.0129491	0.00179369	0.00399335	0.00471421	0.0031811
7	1	-3691.655	-3717.175	25.51913	0.0343513	0.885647	0.00760559	0.0659554	0.0123795	0.0299036	0.0131122	0.00659634	0.0258641	0.0188102	0.0199351	0.0410738	0.0593029	0.0111929	0.00548178	0.000790602	0.00563317	0.0271695	0.150678	0.00800502	0.07215	0.286617	0.150723	0.277269	0.285391	0.0971514	0.100613	0.0968154	0.102035	0.125714	0.0847468
8	0	-3235.051	-3168.875	-66.17515	2.42578	0.152422	1.31099	0.615469	0.245177	0.171531	0.0678777	0.00897483	0.257809	0.106676	0.0234025	0.208379	1.13244	0.105622	1.13862	0.0322006	0.00884894	0.100753	2.38484	0.321203	0.437485	0.120036	0.299153	0.429294	0.151517	0.00246902	0.00424544	0.00413681	0.00113166	0.0078815	0.0017839
9	1	-3690.267	-3716.39	26.12312	0.0136422	0.842682	0.00706566	0.0604137	0.00992887	0.0315983	0.0158271	0.00409865	0.0372944	0.01056	0.0248987	0.0201124	0.0650428	0.0155183	0.0145856	0.00159654	0.0160497	0.0375552	0.0964575	0.00592515	0.0579089	0.194662	0.21084	0.292958	0.30154	0.111478	0.120816	0.0944371	0.107956	0.153531	0.0713359
10	0	-3217.333	-3164.735	-52.59843	2.24693	0.143591	0.503034	0.570899	0.229845	0.231254	0.106927	0.00557095	0.168038	0.110547	0.0810626	0.120656	0.362091	0.124851	1.51912	0.0339728	0.0206035	0.282141	2.52156	0.275079	0.243268	0.112885	0.230043	0.369151	0.287921	0.001594	0.00738796	0.0017378	0.00262803	0.00583721	0.000249268
11	1	-3684.634	-3709.133	24.49923	0.0247914	1.04325	0.0175862	0.104872	0.00935222	0.034406	0.00482041	0.00261858	0.0211178	0.0137444	0.00892684	0.0289342	0.0895376	0.014633	0.0224735	0.000638135	0.00707636	0.0221096	0.0690505	0.00720003	0.0636639	0.212166	0.206862	0.287431	0.293541	0.0802031	0.124064	0.108285	0.0981354	0.108588	0.0806232
12	0	-3214.695	-3157.3	-57.39482	2.13015	0.285252	0.238472	0.820077	0.178005	0.406974	0.0940949	0.0142361	0.229626	0.146936	0.129983	0.263554	0.399359	0.401748	0.979284	0.0267239	0.0515474	0.105564	2.90267	0.0640351	0.511593	0.128633	0.184595	0.29102	0.395752	0.00433775	0.00685994	0.00267488	0.00217129	0.00400356	0.000168279
13	1	-3679.452	-3705.733	26.28147	0.0350071	0.792871	0.0105185	0.0755283	0.00242549	0.025961	0.00414195	0.00298002	0.028967	0.0045091	0.014462	0.0122078	0.0877294	0.0256821	0.0208341	0.000846879	0.00334602	0.0656068	0.0841679	0.00321025	0.0331185	0.196928	0.191352	0.311691	0.300028	0.0904152	0.126188	0.112901	0.110256	0.169108	0.0894902
14	0	-3219.977	-3149.762	-70.21511	2.4649	0.236373	0.238897	1.02832	0.20578	0.154936	0.078341	0.0329406	0.384584	0.155193	0.248115	0.156971	0.360486	0.634121	1.56991	0.0645431	0.0566402	0.112627	2.74094	0.0983487	0.636275	0.166928	0.186697	0.272651	0.373724	0.00228336	0.00963046	0.000680954	0.00319146	0.00681281	0.000306364
15	1	-3689.421	-3715.767	26.34614	0.0959772	0.832828	0.0114797	0.0530631	0.00112901	0.0180588	0.0122748	0.00234907	0.0382986	0.00393734	0.0170036	0.031292	0.156513	0.0273653	0.00826437	0.000628227	0.00117615	0.0350696	0.0564206	0.00506595	0.0498011	0.195358	0.250139	0.211292	0.343211	0.0711592	0.144822	0.0674291	0.124241	0.0902371	0.070129
16	0	-3230.016	-3157.777	-72.23879	2.22161	0.184173	0.312659	1.26168	0.181921	0.232095	0.055459	0.0369862	0.496259	0.247718	0.321716	0.421148	0.616945	0.273152	1.26285	0.325803	0.151213	0.360517	2.39263	0.0272295	0.482011	0.200731	0.154854	0.268761	0.375655	0.00344678	0.00724981	0.000888175	0.00218751	0.00453356	0.000433152
